paragraph,paragraphNumber,filePath,fileName,matchingKey,PoliceReform,Operations_PatrolsInterventions,StateAdministration,RefugeeAssistance,ElectionAssistance,LegalReform,CivilSocietyAssistance
"1. The present report is submitted pursuant to Security Council resolution 2410 (2018), by which the Council extended the mandate of the United Nations Mission for Justice Support in [LOC] ([LOC]) until 15 April 2019 and requested me to report to the Council every 90 days on the implementation of the resolution. It covers major developments that have occurred since the issuance of my most recent report, on 30 August (S/2018/795), progress on the benchmarked exit strategy and an update on timelines for the transfer of tasks and responsibilities for handover to the Government, in coordination with the United Nations country team. A. Political developments",1,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"2. This reporting period was marked by incidents of volatility and tension, including calls for President Jovenel Moïse to step down. The two Senate commission reports of 2016 and 2017 on the mismanagement of the PetroCaribe Fund, which I detailed in my report of 20 March (S/2018/241), gave rise to widespread yet predominantly peaceful civil society demonstrations nationwide to demand greater transparency and accountability from the Government. As these protests unfolded, a civil society movement known as PetroCaribe Challenge emerged on social media in August, intensifying calls for a credible investigation and for the authorities to exert due [LOC]gence. While the movement was initially not politically affiliated, in September, the more extreme opposition parties joined the demonstrations. Online 10,000 to 15,000 [LOC] marched that day, the largest public demonstration in recent history. Most demands focused on the PetroCaribe Fund, and there were also calls for improved delivery of social services and for President Moïse to step down.",2,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"4. The national police reported that 2 civilians were killed and 24 injured, in addition to 19 national police officers. In addition, 46 people were arrested nationwide. Local media and politicians unanimously viewed the 17 October demonstrations as a success due to their relatively peaceful nature. International actors highlighted the professionalism of the police and the improved communications between the Government and police leadership.",4,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"5. The situation remained tense throughout the religious holiday weekend of 1 and 2 November. On 31 October, a combined funeral for six individuals, alleged to have died under various circumstances on 17 October in [LOC] and [LOC] neighbourhoods ([LOC], [LOC] region) was disrupted by shootings and road blocks with many disturbances reported across the city. Later that day, 11 people were wounded by gunshots in the [LOC] area of [LOC], and a girl of 11 years of age was killed.",5,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"6. The 18 November commemorations of the 215th anniversary of the battle of [LOC] ([LOC], [LOC] region) were also marked by nationwide anti-corruption protests. In the country’s main cities, demonstrations brought together relatively large crowds of people, albeit in smaller numbers than on 17 October. The protestors were notably different from the 17 October crowds, most of them being political militants echoing the calls of the opposition, with far fewer women present. Barricades of rocks and burning tyres erected by protesters were quickly cleared by the national police, and a small number of incidents were recorded. Authorities reported 6 people killed, 5 injured and 35 arrested. The leaders of the radical opposition party Secteur démocratique et populaire reported 11 people killed, 45 wounded and 75 arrested. The demonstrations were followed by a well-observed two-day general strike on 19 and 20 November.",6,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"7. President Moïse responded to the people’s demands by asking that the Prime Minister provide all necessary support to the relevant institutions, specifically the justice system as it investigates the allegations regarding the mismanagement of the PetroCaribe funds. The President further emphasized that private companies found to have defrauded the State would be prosecuted, and he requested that all State officials involved in the management of the PetroCaribe funds make themselves available to the ongoing investigation.",7,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"8. On 22 October, amid growing allegations of mismanagement, President Moïse dismissed 18 close associates and advisers, including his chief of staff, who previously served as Economy and Finance Minister, citing the importance of government accountability. On the same day, Prime Minister Jean-Henry Céant announced the creation of an independent commission comprising national experts to oversee the PetroCaribe investigation and guarantee its political neutrality. However, since the announcement, national media associations, members of the PetroCaribe Challenge movement, human rights organizations and other entities mentioned by the Prime Minister as possible members of the commission publicly declined to participate.",8,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"9. Activity in Parliament was characterized by limited legislative activity in both chambers due to their failure to hold regular weekly plenary sessions. On 4 September, Parliament adopted the amended 2017–2018 budget, revised after fuel subsidies were reintroduced following violent unrest against the measure from 6 to 8 July. The revised budget forecasts a 10 per cent increase in spending, or approximately $150 million, together with a drop in fuel revenues of approximately $100 million. The draft law on the creation, organization and functioning of the for access to legal advice for [LOC] regardless of their social status. This long overdue piece of legislation represents an important milestone in the effort to reduce pretrial detention rates. The second ordinary session of the legislative year closed on 10 September, with 8 draft laws voted and transmitted to the executive for promulgation, bringing the year’s total to 19.",9,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"10. Following his appointment as Prime Minister on 5 August, Jean Henry Céant’s cabinet received a vote of confidence in an extraordinary session of the National Assembly on 15 and 16 September.",10,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"11. The new Cabinet consists of 25 ministers, secretaries of state and delegate ministers, including 6 women. Women thus account for only 24 per cent of the Cabinet, which is lower than the 30 per cent minimum quota prescribed in the Constitution. The female ministers have been appointed to ministries traditionally occupied by women: Tourism, [LOC] Living Abroad, Social Affairs and Labour, Public Health and Population, Women’s Affairs and Women’s Rights, and Human Rights and the Fight against Extreme Poverty, which seldom play a role in strategic government decision-making. The new Government includes six ministers and three state secretaries from the previous Government.",11,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
